week,sku,weekly_sales,feat_main_page,color,price,vendor,functionality
2016-10-31,1,135.0,True,black,10.16,6,6
2016-11-07,1,102.0,True,black,9.86,6,6
2016-11-14,1,110.0,True,black,10.24,6,6
2016-11-21,1,127.0,True,black,8.27,6,6
2016-11-28,1,84.0,True,black,8.83,6,6
2016-12-05,1,87.0,True,black,8.98,6,6
2016-12-12,1,64.0,True,black,10.4,6,6
2016-12-19,1,128.0,True,black,9.57,6,6
2016-12-26,1,23.0,True,black,10.49,6,6
2017-01-02,1,154.0,True,black,9.19,6,6
2017-01-09,1,85.0,True,black,11.91,6,6
2017-01-16,1,11.0,False,black,23.19,6,6
2017-01-23,1,19.0,False,black,20.59,6,6
2017-01-30,1,17.0,False,black,20.74,6,6
2017-02-06,1,17.0,False,black,21.94,6,6
2017-02-13,1,17.0,False,black,19.73,6,6
2017-02-20,1,13.0,False,black,23.88,6,6
2017-02-27,1,8.0,False,black,26.11,6,6
2017-03-06,1,8.0,False,black,27.5,6,6
2017-03-13,1,5.0,False,black,27.69,6,6
2017-03-20,1,6.0,False,black,28.69,6,6
2017-03-27,1,9.0,False,black,21.21,6,6
2017-04-03,1,6.0,True,black,27.69,6,6
2017-04-10,1,4.0,False,black,27.69,6,6
2017-04-17,1,13.0,False,black,29.69,6,6
2017-04-24,1,7.0,False,black,27.69,6,6
2017-05-01,1,9.0,False,black,23.79,6,6
2017-05-08,1,4.0,False,black,26.5,6,6
2017-05-15,1,5.0,False,black,28.69,6,6
2017-05-22,1,9.0,False,black,24.42,6,6
2017-05-29,1,7.0,False,black,28.69,6,6
2017-06-05,1,8.0,False,black,27.69,6,6
2017-06-12,1,11.0,False,black,22.35,6,6
2017-06-19,1,5.0,False,black,29.69,6,6
2017-06-26,1,8.0,False,black,27.69,6,6
2017-07-03,1,7.0,False,black,13.11,6,6
2017-07-10,1,10.0,False,black,28.31,6,6
2017-07-17,1,7.0,False,black,27.69,6,6
2017-07-24,1,5.0,False,black,28.74,6,6
2017-07-31,1,5.0,False,black,27.69,6,6
2017-08-07,1,13.0,False,black,27.69,6,6
2017-08-14,1,4.0,False,black,23.01,6,6
2017-08-21,1,7.0,False,black,22.64,6,6
2017-08-28,1,10.0,False,black,23.98,6,6
2017-09-04,1,7.0,False,black,21.4,6,6
2017-09-11,1,5.0,False,black,26.49,6,6
2017-09-18,1,6.0,False,black,25.49,6,6
2017-09-25,1,11.0,False,black,26.49,6,6
2017-10-02,1,12.0,False,black,25.98,6,6
2017-10-09,1,4.0,False,black,27.49,6,6
2017-10-16,1,9.0,False,black,25.49,6,6
2017-10-23,1,11.0,False,black,26.47,6,6
2017-10-30,1,8.0,False,black,21.33,6,6
